"Slug","Title","Image","Image:alt","Content"
"acı-bibər","Acı bibər","https://framerusercontent.com/images/9djgri41wwI1Nq6Gm9PgeofMhw.jpg","","<p><br></p>"
"acı-portağal","Acı portağal","https://framerusercontent.com/images/rynjNdCG87VXZIPSDufXuBvgY.jpg","","<p><br></p>"
"afrodizyak","Afrodizyak","https://framerusercontent.com/images/bOiM345rR3ZUgiiJmrH4Fz0UJQ.jpg","","<p><br></p>"
"ağ-freziya","Ağ freziya","https://framerusercontent.com/images/pl62JU7hcQ6y6kXxSMnDlt86yk.jpg","","<p><br></p>"
"ağ-çiçəklər","Ağ çiçəklər","https://framerusercontent.com/images/qYkM3TU4enQwyO9HHk9b20ATkZo.jpg","","<p><br></p>"
"ağ-gilas","Ağ gilas","https://framerusercontent.com/images/vpfN3NN4e0hu97WoWhF6X6pO43E.jpg","","<p><br></p>"
"adenium-səhra-qızılgülü","Adenium (Səhra qızılgülü)","https://framerusercontent.com/images/hEkZvRQ579hneA67OFnKpyznX0.jpg","","<p><br></p>"
"absent","Absent","https://framerusercontent.com/images/SqiMqhw4Uo2wdbtJomJ5BBeFQ.jpg","","<p><br></p>"
"ağ-müşk","Ağ müşk","https://framerusercontent.com/images/CZPA87ex9uRBoNkB398JhLomSQ.jpg","","<p><br></p>"
"ağ-qarağat","Ağ qarağat","https://framerusercontent.com/images/0aCTFepv3Fk6vtgbHXpmhml4QU.jpg","","<p><br></p>"
"ağ-qızılgül","Ağ qızılgül","https://framerusercontent.com/images/abYkajqAYPeYrTTXUibvObgG8.jpg","","<p><br></p>"
"ağ-sidr","Ağ sidr","https://framerusercontent.com/images/LHu5nnOXwYgXGE6hZVs8vxPD9Rw.jpg","","<p><br></p>"
"ağ-şokolad","Ağ şokolad","https://framerusercontent.com/images/RGDf5Q8LJZGCCGnfF1JB7EBI.jpg","","<p><br></p>"
"ağac-notları","Ağac notları","https://framerusercontent.com/images/WMK7zxI2q2qvhM4vW5z0JpzbxQM.jpg","","<p><br></p>"
"albalı","Albalı","https://framerusercontent.com/images/6B4DdNHMUKHFNYQDVg1d7NbBJvY.jpg","","<p><br></p>"
"albalı-çiçəyi","Albalı çiçəyi","https://framerusercontent.com/images/yFfO70aY74Hhtfn7z4GES4IBo.jpg","","<p><br></p>"
"aldehidlər","Aldehidlər","https://framerusercontent.com/images/93ZZ4ud5h0NYQuq2aIQ8ZMSJH7U.jpg","","<p><br></p>"
"alma","Alma","https://framerusercontent.com/images/AVa1zfY13zFhLP0rjkMGlOPtK0.jpg","","<p><br></p>"
"aloe-vera","Aloe vera","https://framerusercontent.com/images/Z1RSZsPPh2aUojtQ0c3DYuh4L5E.jpg","","<p><br></p>"
"ambroksan","Ambroksan","https://framerusercontent.com/images/5tIzjI7VTxVRCMDdQ12nvNlihaQ.jpg","","<p><br></p>"
"ananas","Ananas","https://framerusercontent.com/images/4b7cMnI2XdXsMtt0e8ZbJt2bV98.jpg","","<p><br></p>"
